solution status,position type,GPS tracking elevation cut-off angle,PRN,glofreq,tracking status,pseudorange measurement,doppler freq,Carrier to noise density ratio,locktime,pseudorange residual,range reject code,pseudorange filter weighting
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,2,0,02333ce4,25603954.851,-2195.388,44.628,866.974,0.000,OBSE5,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,2,0,02933ce4,25603955.488,-2167.431,47.614,1420.805,0.000,OBSE5,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,30,0,08438106,0.000,-513.557,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,30,0,01832109,0.000,-383.500,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,30,0,02232109,0.000,-393.505,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,30,0,02832109,0.000,-388.503,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,9,0,08438121,0.000,2397.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01832120,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02232120,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02832120,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,15,0,08438146,0.000,2625.980,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01832140,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02232140,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02832140,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,4,0,08438161,0.000,420.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01832160,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02232160,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02832160,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00438180,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01832180,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02232180,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02832180,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,004381a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,018321a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,022321a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,028321a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,004381c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,018321c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,022321c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,028321c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,004381e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,018321e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,022321e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,028321e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00438200,0.000,0.000,0.000,0.000,0.000,NA,0.000
